"date","mkt_rf","smb","hml","rmw","cma","rf"
"1963-07-31",-0.0040270213,-0.0047119170,-0.0085038494,0.0066935721,-0.0116792972,0.0026433291
"1963-08-31",0.0508012951,-0.0074082000,0.0154730977,0.0036883778,-0.0038240290,0.0024227972
"1963-09-30",-0.0157279477,-0.0041446826,0.0006670140,-0.0078022225,0.0014677595,0.0028037271
"1963-10-31",0.0251013984,-0.0133038323,0.0001741523,0.0268700400,-0.0208813319,0.0029942796
"1963-11-30",-0.0084811481,-0.0089324338,0.0179835674,-0.0050446692,0.0222443645,0.0027034453
"1963-12-31",0.0182519456,-0.0184193151,-0.0021396558,0.0011361934,-0.0032115598,0.0029441197
"1964-01-31",0.0220600237,0.0006248027,0.0167060748,0.0015746923,0.0147662565,0.0028639073
"1964-02-29",0.0154852283,0.0029895567,0.0280016172,0.0005727179,0.0082859194,0.0026633543
"1964-03-31",0.0141505818,0.0134455125,0.0326264969,-0.0194465901,0.0285544500,0.0031547295
"1964-04-30",0.0011806027,-0.0151284382,-0.0049299412,-0.0130710275,-0.0107846688,0.0028639073
"1964-05-31",0.0145088237,-0.0068177655,0.0191227518,-0.0025166760,0.0021328148,0.0026032135
"1964-06-30",0.0124918576,0.0008789685,0.0069706660,-0.0043480559,0.0010605574,0.0030845318
"1964-07-31",0.0174629860,0.0049918590,0.0068831033,0.0014541228,0.0182173180,0.0028639073
"1964-08-31",-0.0144797668,0.0031692423,-0.0007397629,0.0005766538,0.0035653228,0.0027335519
"1964-09-30",0.0268855308,-0.0034111339,0.0144429793,-0.0044268585,0.0056747397,0.0027335519
"1964-10-31",0.0060305647,0.0091024822,0.0115164883,-0.0007459267,0.0048667197,0.0028639073
"1964-11-30",-0.0002991544,-0.0026267215,-0.0205627181,0.0061835831,-0.0017530887,0.0028538508
"1964-12-31",0.0003336481,-0.0058007294,-0.0247410475,0.0107271502,-0.0164186491,0.0030845318
"1965-01-31",0.0351307846,0.0241334114,0.0019722955,0.0081078594,0.0009535905,0.0028037271
"1965-02-28",0.0045409334,0.0325704481,0.0014559865,0.0034686848,-0.0068144558,0.0030443816
"1965-03-31",-0.0131752610,0.0202653294,0.0105128798,-0.0030345442,0.0069674168,0.0036864841
"1965-04-30",0.0310021774,0.0116455306,0.0067684568,0.0029793983,-0.0218116184,0.0031547295
"1965-05-31",-0.0077170607,0.0002602104,-0.0157104842,-0.0042168181,0.0067808437,0.0032048687
"1965-06-30",-0.0548936498,-0.0441723955,0.0040675416,0.0017675299,0.0040437132,0.0035259199
"1965-07-31",0.0142549031,0.0104165747,0.0215516968,-0.0138238371,-0.0002478039,0.0031547295
"1965-08-31",0.0272101730,0.0264973686,-0.0091012476,0.0200679510,-0.0075241694,0.0033052027
"1965-09-30",0.0285673707,0.0057939531,-0.0011596212,-0.0081052241,0.0077812966,0.0031547295
"1965-10-31",0.0259396330,0.0333517102,0.0149545647,0.0118048760,-0.0071000403,0.0031547295
"1965-11-30",-0.0001598077,0.0520852468,0.0018594924,-0.0102812079,-0.0090942528,0.0034054966
"1965-12-31",0.0099998116,0.0260950605,0.0195671834,-0.0127767787,-0.0041364778,0.0033052027
