"date","mkt_rf","smb","hml","rf","Mom"
"1926-07-31",0.0288460862,-0.0223002845,-0.0285796557,0.0022524317,
"1926-08-31",0.0266967010,-0.0133586210,0.0408302527,0.0026032526,
"1926-09-30",0.0037240189,-0.0128025044,-0.0008636538,0.0021622371,
"1926-10-31",-0.0330110437,-0.0005741559,0.0067657516,0.0032550751,
"1926-11-30",0.0258469957,-0.0023494955,-0.0045899229,0.0031246688,
"1926-12-31",0.0263218775,-0.0011019328,0.0009437265,0.0028639360,-0.0003854705
"1927-01-31",-0.0001070793,-0.0048138947,0.0485943618,0.0025030023,0.0348790820
"1927-02-28",0.0418447723,-0.0006626171,0.0284840457,0.0026433291,0.0017584619
"1927-03-31",0.0008742383,-0.0169815119,-0.0244681575,0.0029742510,0.0455021899
"1927-04-30",0.0051233616,0.0049241582,0.0047374288,0.0025030023,0.0415325511
"1927-05-31",0.0535124677,0.0130142354,0.0473669075,0.0030043240,0.0354044050
"1927-06-30",-0.0238924525,0.0038078565,-0.0152450181,0.0025030023,0.0201660863
"1927-07-31",0.0722112997,-0.0301534479,-0.0106711258,0.0030043240,0.0313246805
"1927-08-31",0.0200267881,-0.0075751183,-0.0354798168,0.0027035129,0.0268667100
"1927-09-30",0.0482304775,-0.0339238683,-0.0066625992,0.0020019212,0.0270526110
"1927-10-31",-0.0427718646,0.0212647161,-0.0453822031,0.0025030023,-0.0197883845
"1927-11-30",0.0650764558,0.0269576354,-0.0013849685,0.0021622371,0.0035052671
"1927-12-31",0.0223980257,0.0090945122,-0.0102559720,0.0023426344,0.0163297221
"1928-01-31",-0.0053727455,0.0429967422,-0.0073413686,0.0025030023,-0.0015925396
"1928-02-29",-0.0167213414,-0.0201614754,-0.0066389611,0.0032249637,-0.0038201935
"1928-03-31",0.0885153467,-0.0029828790,-0.0106056082,0.0029742510,0.0700071986
"1928-04-30",0.0424261793,0.0378541940,0.0332547064,0.0022023115,-0.0300587595
"1928-05-31",0.0149735060,0.0278731704,-0.0303722834,0.0033052027,0.0409090643
"1928-06-30",-0.0488378503,-0.0377146141,0.0034818221,0.0031246845,0.0056231167
"1928-07-31",0.0056420099,-0.0138639246,-0.0053804900,0.0032550751,0.0157142977
"1928-08-31",0.0670353947,-0.0194081749,-0.0194297461,0.0032450595,0.0358732929
"1928-09-30",0.0283780541,0.0223363603,0.0093934870,0.0026433423,0.0544596902
"1928-10-31",0.0127286321,0.0222805271,-0.0214081534,0.0041683307,0.0356426529
"1928-11-30",0.1179496983,-0.0169401284,0.0250293866,0.0039173204,0.0373070275
"1928-12-31",0.0047556169,-0.0088168441,-0.0034959982,0.0005001200,0.0142510363
"1929-01-31",0.0457336531,-0.0319748012,-0.0112727296,0.0033854982,0.0355333027
"1929-02-28",-0.0029823641,-0.0034254215,0.0165823338,0.0036061627,0.0383325865
"1929-03-31",-0.0078347865,-0.0481419750,0.0157367019,0.0033654152,-0.0139187168
"1929-04-30",0.0168785397,-0.0093243132,0.0052008110,0.0036463771,0.0279284692
"1929-05-31",-0.0643358523,-0.0564298889,-0.0146754943,0.0044294053,-0.0005911487
"1929-06-30",0.0964859620,-0.0206304235,-0.0258303374,0.0052632513,0.0879835012
"1929-07-31",0.0446692909,-0.0374009537,0.0257359734,0.0033854982,0.0479317695
"1929-08-31",0.0804697104,-0.0897846210,0.0020912532,0.0039073213,0.0557596254
"1929-09-30",-0.0538337981,0.0134455513,-0.0075886723,0.0036062168,0.0156326629
"1929-10-31",-0.1987942944,-0.0661579177,0.0834777679,0.0046905452,0.0778135127
"1929-11-30",-0.1268857794,-0.0169846621,0.0503338136,0.0037465896,-0.0111434834
"1929-12-31",0.0122674567,-0.0416932015,-0.0046347774,0.0037567578,0.0412951826
"1930-01-31",0.0553249198,0.0332257289,-0.0114142660,0.0013008128,-0.0513288985
"1930-02-28",0.0244638671,0.0012621247,0.0037395272,0.0028639073,-0.0179495093
"1930-03-31",0.0711672555,0.0318857638,0.0008612528,0.0033854982,-0.0352814033
"1930-04-30",-0.0207162831,-0.0021120457,-0.0093390901,0.0021622371,-0.0042530393
"1930-05-31",-0.0159881396,-0.0208754337,-0.0083397137,0.0025030023,-0.0075296722
"1930-06-30",-0.1619900118,-0.0401578965,0.0218390215,0.0027536331,0.1360208361
"1930-07-31",0.0395782027,-0.0042708576,-0.0155391998,0.0020019212,-0.0320491036
"1930-08-31",0.0011829390,-0.0233233554,-0.0066316699,0.0010004801,0.0423951863
"1930-09-30",-0.1292498680,-0.0262236781,-0.0600632037,0.0022524317,0.0675412781
"1930-10-31",-0.0871616180,-0.0047995809,-0.0108626333,0.0007802926,0.0307991460
"1930-11-30",-0.0291523401,0.0237833907,-0.0374719726,0.0013809112,-0.0114807315
"1930-12-31",-0.0778510864,-0.0533146410,-0.0618546427,0.0013008128,0.1475223888
