,date,mkt_rf,smb,hml,rf,Mom,liq,Unnamed: 2
197011,1970-11-30,0.0460475938,-0.0387644591,0.0148401511,0.0046100649,0.0221068546,-0.00580052,
197012,1970-12-31,0.0571959972,0.0277699178,0.0084928876,0.0041883497,-0.0238653993,0.05103302,
197101,1971-01-31,0.0482449102,0.0703725731,0.0130470601,0.0038068668,-0.0652016203,-0.05202525,
197102,1971-02-28,0.0140281033,0.0187706929,-0.012778524,0.0032349467,0.0116657961,-0.02022328,
197103,1971-03-31,0.041488346,0.0244130342,-0.0375567763,0.0029942796,-0.0090628055,0.01789328,
197104,1971-04-30,0.0314430391,-0.0047417126,0.0067616249,0.0027335519,0.0300557652,0.02803229,
197105,1971-05-31,-0.0399530778,-0.0109757415,-0.0151175643,0.0030042788,0.0140026059,0.00630164,
197106,1971-06-30,-8.04767e-05,-0.0148802083,-0.0199427208,0.0037466835,0.0224226232,-0.03891157,
197107,1971-07-31,-0.0451527786,-0.0162259736,0.0013826352,0.0039975901,-0.0151948602,-0.0018226,
197108,1971-08-31,0.0349129182,-0.0014175402,0.0261796975,0.0046302014,0.0428296234,0.02494777,
197109,1971-09-30,-0.0084238853,0.0046800031,-0.0289207696,0.0035760755,0.0236235572,0.00606665,
197110,1971-10-31,-0.0439589653,-0.0189752521,-0.0047137715,0.0035760755,-0.0026623065,0.03499148,
197111,1971-11-30,-0.0046415685,-0.0287213439,-0.0166058845,0.0037868118,0.0109715666,0.00736597,
197112,1971-12-31,0.086911787,0.0314745156,-0.004847325,0.0037466835,-0.0133993998,0.00253523,
197201,1972-01-31,0.0248340997,0.0598958782,0.0190039043,0.0029441197,-0.0041331977,-0.03449117,
197202,1972-02-29,0.0287755722,0.0134455913,-0.0263479775,0.002402738,0.0206349045,0.01024115,
197203,1972-03-31,0.0062294797,-0.0025795636,-0.0170212134,0.0026433291,0.0351233182,0.03312923,
197204,1972-04-30,0.0026044928,0.0007599493,0.0018661449,0.0028037271,0.0303784097,0.01514382,
197205,1972-05-31,0.0125719499,-0.0278024002,-0.0268093765,0.0030845318,0.0372072961,-0.00067656,
197206,1972-06-30,-0.0241813615,0.0040832358,-0.0259030395,0.0028639073,0.0192297331,0.01315457,
197207,1972-07-31,-0.0079578695,-0.0297098398,0.0083534115,0.0032048687,0.0261389628,0.0157442,
197208,1972-08-31,0.0327462067,-0.0388003135,0.04715676,0.0027636463,-0.0361096792,-0.0302183,
197209,1972-09-30,-0.0110787463,-0.0267660705,0.0044385414,0.0034054966,0.0181874704,-0.01442212,
197210,1972-10-31,0.0050039601,-0.0276901876,0.01289841,0.0039674934,0.0098723463,-0.01615959,
197211,1972-11-30,0.0453820327,-0.0105363019,0.0475513264,0.0038068668,-0.0488777473,-0.00776532,
197212,1972-12-31,0.006883403,-0.0186965178,-0.0226984552,0.0038068478,0.0580391761,0.00898538,
197301,1973-01-31,-0.0326477046,-0.0360554304,0.0281199377,0.0044192733,0.0341533134,-0.01456082,
197302,1973-02-28,-0.048131902,-0.0417801594,0.0187490341,0.0041882867,0.0339711431,-0.01090211,
197303,1973-03-31,-0.0131542637,-0.0282154485,0.02720148,0.0046302014,0.0354724824,-0.0129657,
197304,1973-04-30,-0.056511225,-0.0418276866,0.0617548363,0.0052128641,0.0778797642,0.02323191,
197305,1973-05-31,-0.0294046465,-0.0631112456,0.0017229049,0.0050722387,0.0654943076,-0.0025894,
